round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
1,,,,,,,,0.1,0.001,0.01,0.01
2,,,,,,,,0.1,0.001,0.0141421356237309,0.01
3,,,,,,,,0.1,0.001,0.0173205080756887,0.01
4,,,,,,,,0.1,0.001,0.02,0.01
5,,,,,,,,0.1,0.001,0.0223606797749978,0.01
6,,,,,,,,0.1,0.001,0.0244948974278317,0.01
7,,,,,,,,0.1,0.001,0.0264575131106459,0.01
8,,,,,,,,0.1,0.001,0.0282842712474619,0.01
9,,,,,,,,0.1,0.001,0.03,0.01
10,,,,,,,,0.1,0.001,0.0316227766016838,0.01
11,,,,,,,,0.1,0.001,0.033166247903554,0.01
12,,,,,,,,0.1,0.001,0.0346410161513775,0.01
13,,,,,,,,0.1,0.001,0.0360555127546398,0.01
14,,,,,,,,0.1,0.001,0.0374165738677394,0.01
15,,,,,,,,0.1,0.001,0.0387298334620741,0.01
16,,,,,,,,0.1,0.001,0.04,0.01
17,,,,,,,,0.1,0.001,0.0412310562561766,0.01
18,,,,,,,,0.1,0.001,0.0424264068711928,0.01
19,,,,,,,,0.1,0.001,0.0435889894354067,0.01
20,,,,,,,,0.1,0.001,0.0447213595499957,0.01
21,,,,,,,,0.1,0.001,0.0458257569495584,0.01
22,,,,,,,,0.1,0.001,0.0469041575982343,0.01
23,,,,,,,,0.1,0.001,0.0479583152331271,0.01
24,,,,,,,,0.1,0.001,0.0489897948556635,0.01
25,,,,,,,,0.1,0.001,0.05,0.01
26,,,,,,,,0.1,0.001,0.0509901951359278,0.01
27,,,,,,,,0.1,0.001,0.0519615242270663,0.01
28,,,,,,,,0.1,0.001,0.0529150262212918,0.01
29,,,,,,,,0.1,0.001,0.053851648071345,0.01
30,,,,,,,,0.1,0.001,0.0547722557505166,0.01
31,,,,,,,,0.1,0.001,0.0556776436283002,0.01
32,,,,,,,,0.1,0.001,0.0565685424949238,0.01
33,,,,,,,,0.1,0.001,0.0574456264653802,0.01
34,,,,,,,,0.1,0.001,0.058309518948453,0.01
35,,,,,,,,0.1,0.001,0.0591607978309961,0.01
36,,,,,,,,0.1,0.001,0.06,0.01
37,,,,,,,,0.1,0.001,0.0608276253029822,0.01
38,,,,,,,,0.1,0.001,0.0616441400296897,0.01
39,,,,,,,,0.1,0.001,0.0624499799839839,0.01
40,,,,,,,,0.1,0.001,0.0632455532033676,0.01
41,,,,,,,,0.1,0.001,0.0640312423743284,0.01
42,,,,,,,,0.1,0.001,0.0648074069840786,0.01
43,,,,,,,,0.1,0.001,0.06557438524302,0.01
44,,,,,,,,0.1,0.001,0.066332495807108,0.01
45,,,,,,,,0.1,0.001,0.0670820393249937,0.01
46,,,,,,,,0.1,0.001,0.0678232998312526,0.01
47,,,,,,,,0.1,0.001,0.0685565460040104,0.01
48,,,,,,,,0.1,0.001,0.069282032302755,0.01
49,,,,,,,,0.1,0.001,0.07,0.01
50,,,,,,,,0.1,0.001,0.0707106781186547,0.01
